danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_uri,name,mode_major,mode_minor
0.761,0.551,8,-7.14,0.037,0.0889,0.0,0.0971,0.478,104.935,4,1pyGo7knT3LE2I1FJIrwdX,Stacy,1,0
0.811,0.429,10,-9.802,0.0991,0.151,0.0557,0.0945,0.544,111.983,4,6dXkSrHXcyVbTvzUoXqtzk,How To Be Human,1,0
0.617,0.684,0,-3.618,0.0439,0.0545,0.0,0.104,0.295,132.113,4,7C39RtGhnEw7cyf0Pyw7PV,Saint-Tropez,1,0
0.726,0.727,9,-4.919,0.0969,0.363,0.0,0.231,0.815,77.543,4,2zkhW5YaOPPaPgNWXmjTjF,Come Around,1,0
0.553,0.895,2,-3.829,0.355,0.51,0.0,0.645,0.743,79.449,4,06s1TISabJ5Kk1gaE8i9GJ,Whatever USA,1,0
0.288,0.593,8,-9.136,0.0974,0.198,0.0292,0.125,0.382,182.377,3,46dLlHs1faMwGvFZP4JMLd,Hallelujah,1,0
0.735,0.531,0,-7.845,0.0293,0.342,6.24e-06,0.0867,0.642,106.985,4,736B63TZx939yQZUXl7TMa,October,1,0
0.461,0.102,7,-13.05,0.0897,0.967,2.1e-06,0.164,0.259,71.835,4,0fB77VOZ2FkQeKLv1DuEwp,hope is a dangerous thing for a woman like me to have - but I have it,1,0
0.456,0.126,2,-10.883,0.0444,0.966,1.77e-06,0.107,0.162,68.614,4,3lG6OtGDsYAOALxEmubQQm,Happiness is a butterfly,1,0
0.414,0.23,2,-12.379,0.0406,0.942,0.0167,0.173,0.192,78.494,3,6ERZ30cRjVWGtVLhczX9aL,The greatest,0,1
0.719,0.896,1,-3.263,0.037,0.011,3.25e-05,0.0731,0.746,100.962,4,4UyAtnwhaKv7EG1BdkBYRI,Ready To Let Go,1,0
0.67,0.555,1,-7.033,0.269,0.00482,0.0,0.0904,0.443,141.899,4,3eRUV5XlsGW72Q7hcneLpY,Senorita,0,1
0.326,0.303,9,-11.802,0.047,0.565,0.000655,0.161,0.0677,78.888,3,4qUtC2BwFC154Ha8YQRrkk,How to disappear,1,0
0.292,0.334,6,-10.679,0.0378,0.839,0.345,0.151,0.148,67.836,4,2mdEsXPu8ZmkHRRtAdC09e,Cinnamon Girl,0,1
0.404,0.298,9,-12.986,0.0304,0.912,0.228,0.0996,0.315,78.815,4,3hwQhakFwm9soLEBnSDH17,Venice Bitch,0,1
0.218,0.215,5,-12.49,0.0368,0.967,0.0847,0.0948,0.138,76.74,1,3RIgHHpnFKj5Rni1shokDj,Norman fucking Rockwell,1,0
0.699,0.594,1,-6.671,0.357,0.134,0.0,0.656,0.564,179.835,4,5tgxhcXZA351F77Libd5C7,White Shoes,1,0
0.731,0.588,3,-5.217,0.0749,0.334,0.0,0.275,0.449,80.019,4,5ZhvIEpk5yURoZ6xAQzNZM,Always Been You,1,0
0.662,0.8,1,-5.152,0.0758,0.0712,0.0,0.0937,0.781,171.897,4,5qHINFJdLjWDDjOswcDACb,Before It Burned,0,1
0.485,0.784,7,-3.397,0.0329,0.232,0.024,0.134,0.621,127.789,4,2KYQ3NrpKTATXq0v1XtHoP,Easton & Main,1,0
0.629,0.583,2,-6.274,0.0415,0.142,0.0,0.118,0.492,147.036,4,61vlvG3pr4djrXPtHPdXII,Don't Throw Out My Legos,1,0
0.7,0.703,7,-4.794,0.0308,0.0104,0.0,0.0981,0.338,90.018,4,2xrW6sZRmahuSAQMxO4BmJ,Rush,0,1
0.61,0.568,6,-7.564,0.0355,0.0128,0.0,0.119,0.422,94.93,4,1jYp3erCalzBtKZSgl78a9,call me your love,0,1
0.529,0.526,8,-7.731,0.276,0.403,0.0,0.128,0.733,82.482,4,6tOSnnwHqg14bFMmXBOFYT,breaking all the rules,1,0
0.576,0.326,11,-7.668,0.0933,0.834,0.0,0.103,0.432,82.442,4,2zY8W4sR9Zzf7M34IZbq6n,hungover sunday,0,1
0.913,0.391,6,-6.221,0.0654,0.271,1.39e-06,0.106,0.601,127.036,4,2ejzLLkEgM6Tiw6zZnUOll,head first,0,1
0.648,0.792,11,-5.881,0.0597,0.0223,0.0,0.227,0.629,147.88,4,5r4G5w8ujwefEnrCT5uzoX,bright side of the moon,0,1
0.763,0.527,6,-6.779,0.123,0.0562,0.00384,0.0918,0.493,156.047,4,1spZPzBLYeVTvd0iDWXgC2,Rooting For You,1,0
0.544,0.394,6,-8.369,0.0501,0.487,0.000404,0.0567,0.674,109.92,4,0wUlGPa8He68F9TmLKdcL4,Simple & Sweet,1,0
0.784,0.485,5,-5.116,0.0952,0.469,0.0,0.2,0.581,140.191,4,2Wi63FW8aZbh4rNInRaXs1,Iron & Steel,1,0
0.73,0.494,10,-6.402,0.0565,0.57,0.0,0.158,0.561,86.732,4,4RtexJZ1OyRkDNlqVUt8Zt,Panama,1,0
0.424,0.261,6,-11.863,0.0381,0.889,4.2e-06,0.111,0.26,58.029,3,5mF5awNTdA3SYYSxRaE2X9,Deathbed,1,0
0.679,0.553,7,-5.787,0.0733,0.236,1.29e-06,0.0996,0.269,101.912,4,4Lfm2t5ziUrBcVTfOKVipH,Love You More,1,0
